station_id,station_name,district,address,lat,lng,tot_quantity,sbi_quantity,bemp,act,data_time,yb2_quantity,eyb_quantity
500229115,YouBike2.0_黃城公園(中榮街),新莊區,中榮街62號(對側),25.05277,121.44883,11,4,7,1,2026-04-28 14:14:04,4,0
500229116,YouBike2.0_瓊泰市民活動中心,新莊區,瓊泰路85號(旁),25.02926,121.44312,15,9,6,1,2026-04-28 14:22:03,9,0
500229117,YouBike2.0_龍安福營路口,新莊區,龍安路/福營路口(東南側),25.02022,121.41931,15,1,14,1,2026-04-28 13:22:03,1,0
500229118,YouBike2.0_文中三平面停車場,新莊區,三泰路56-7號(旁),25.03739,121.43473,42,22,20,1,2026-04-28 13:50:03,21,1
500229119,YouBike2.0_福慧新知八路口,新莊區,福慧路/新知八路口(東南側),25.06204,121.45519,20,13,7,1,2026-04-28 14:12:03,11,2
500229120,YouBike2.0_捷運幸福站(2號出口),新莊區,幸福東路149號(對側),25.04955,121.46028,35,4,30,1,2026-04-28 14:28:03,3,1
500229121,YouBike2.0_幸福路753巷口,新莊區,幸福路738號(前),25.04914,121.44834,19,5,14,1,2026-04-28 14:15:03,4,1
500229122,YouBike2.0_幸福路678巷口,新莊區,幸福路680號(前),25.04920,121.45063,13,11,2,1,2026-04-28 14:12:03,11,0
500229124,YouBike2.0_中正思源路口(東北側),新莊區,思源路/中正路(東北側),25.03938,121.46103,45,31,13,1,2026-04-28 14:25:03,29,2
500229125,YouBike2.0_台水新莊服務所,新莊區,思源路34號(前),25.04152,121.46019,36,18,18,1,2026-04-28 14:20:04,16,2
500229126,YouBike2.0_中正思源路口(西南側),新莊區,中正思源路口(西南側),25.03821,121.45950,46,10,36,1,2026-04-28 14:12:03,10,0
500229127,YouBike2.0_塭仔圳十米園道(新莊歐洲村),新莊區,中平路377巷17弄48號(中環路側),25.05186,121.44247,35,4,31,1,2026-04-28 13:52:03,4,0
500229128,YouBike2.0_塭仔圳十米園道(幸福路口),新莊區,立信一街59號(中環路側),25.04972,121.44247,35,4,31,1,2026-04-28 13:04:03,4,0
500229129,YouBike2.0_昌盛橋,新莊區,中華路二段/昌盛街2巷1弄口,25.04973,121.45317,20,4,16,1,2026-04-28 14:29:04,4,0
500229130,YouBike2.0_中平中榮街口,新莊區,中平路348號(對側),25.05307,121.44464,17,4,13,1,2026-04-28 14:20:04,4,0
500229131,YouBike2.0_豐年陸橋,新莊區,瓊林路42號(對側),25.02967,121.44754,18,2,16,1,2026-04-28 14:20:04,2,0
500229132,YouBike2.0_新莊棒球場(和興街),新莊區,和興街49號(對側),25.04069,121.44654,37,5,32,1,2026-04-28 14:21:03,5,0
500229133,YouBike2.0_民安西路88巷口,新莊區,民安西路89號,25.01912,121.42703,18,7,11,1,2026-04-28 13:08:03,7,0
500229134,YouBike2.0_民安西路468巷口,新莊區,民安西路468號(對側),25.00796,121.43176,25,6,19,1,2026-04-28 14:07:04,5,1
500229135,YouBike2.0_新莊快樂公園,新莊區,瓊泰路115號(對側),25.03033,121.44355,27,11,16,1,2026-04-28 13:06:03,11,0
500229136,YouBike2.0_五權一五工三路口,新莊區,五權一路50號(前),25.06593,121.45797,20,10,9,1,2026-04-28 13:57:02,9,1
500229138,YouBike2.0_新樹路258巷口,新莊區,新樹路258巷口(公車站旁),25.01525,121.43269,19,7,12,1,2026-04-28 13:51:03,5,2
500229139,YouBike2.0_思源路593巷口,新莊區,思源路591號,25.05954,121.45962,16,1,15,1,2026-04-28 14:19:17,0,1
500231001,YouBike2.0_三多第1市民活動中心,樹林區,福興街17號,25.01637,121.40426,27,13,14,1,2026-04-28 14:00:05,13,0
500231002,YouBike2.0_俊興三龍街口,樹林區,俊興街263號,25.01713,121.41828,21,5,16,1,2026-04-28 14:02:02,5,0
500231003,YouBike2.0_全球傳動科技公司,樹林區,三多路123號對側,25.0073,121.41496,20,10,10,1,2026-04-28 11:39:03,8,2
500231004,YouBike2.0_光華公園,樹林區,保安街二段269號對側,25.00557,121.41306,25,7,18,1,2026-04-28 13:31:03,7,0
500231005,YouBike2.0_樹林工業區,樹林區,保安街二段6號前,25.00088,121.41608,33,3,28,1,2026-04-28 13:48:02,2,1
500231006,YouBike2.0_樹林大安站,樹林區,大安路118-1號前,24.99738,121.42181,66,24,42,1,2026-04-28 14:24:04,23,1
500231007,YouBike2.0_文林國小(潭興街),樹林區,潭興街65號斜對面,24.99828,121.42462,44,2,42,1,2026-04-28 14:17:03,1,1
500231008,YouBike2.0_樹林國民運動中心,樹林區,中正路188-6號,25.0042,121.42285,25,10,15,1,2026-04-28 14:10:04,10,0
500231009,YouBike2.0_俊英俊保路口,樹林區,俊保路12號,25.0091,121.42487,20,9,11,1,2026-04-28 14:22:03,9,0
500231010,YouBike2.0_柑園國小,樹林區,柑園街一段353號(前),24.95615,121.38966,14,9,5,1,2026-04-28 13:35:03,7,2
500231011,YouBike2.0_樹林藝文綜合行政大樓,樹林區,保安街一段14巷53號對側,24.99602,121.42949,39,16,23,1,2026-04-28 14:26:03,16,0
500231012,YouBike2.0_民生親子公園,樹林區,保安街一段與14巷口,24.99298,121.42819,20,3,17,1,2026-04-28 14:23:02,3,0
500231013,YouBike2.0_長壽親子公園,樹林區,樹德街33之2號,24.9917,121.42203,26,10,16,1,2026-04-28 14:08:02,9,1
500231014,YouBike2.0_三鶯分區區務辦公室,樹林區,文化街112巷6號(旁),24.99007,121.41691,15,2,13,1,2026-04-28 12:26:02,2,0
500231015,YouBike2.0_樹林國小,樹林區,啟智街與文化街口,24.98886,121.41765,24,4,20,1,2026-04-28 14:04:04,3,1
500231016,YouBike2.0_樹林火車站(後站),樹林區,後站街6巷11號斜對面,24.9917,121.42417,65,14,30,1,2026-04-28 14:29:04,8,6
500231017,YouBike2.0_中山新興街口,樹林區,中山路三段71號對側,24.97512,121.40049,30,22,8,1,2026-04-28 14:04:04,20,2
500231018,YouBike2.0_育德國小,樹林區,佳園路一段34號,24.97062,121.3925,20,4,16,1,2026-04-28 14:07:04,3,1
500231019,YouBike2.0_文林國小,樹林區,千歲街59號,24.9979,121.426,23,1,22,1,2026-04-28 14:28:16,1,0
500231020,YouBike2.0_南樹林火車站,樹林區,中山路二段東興路口(火車站右側人行道),24.9802,121.409,20,19,1,1,2026-04-28 14:22:03,19,0
500231021,YouBike2.0_味王街,樹林區,樹林區味王街3號(馬路側),24.9747,121.404,26,9,17,1,2026-04-28 14:15:03,8,1
500231022,YouBike2.0_中山八德街口,樹林區,中山路二段10號對側,24.98511,121.41761,20,2,18,1,2026-04-28 13:31:03,2,0
500231023,YouBike2.0_中山大安路口,樹林區,中山路二段89號(前人行道),24.98286,121.41182,30,6,24,1,2026-04-28 14:01:03,4,2
500231024,YouBike2.0_彭福國小,樹林區,國凱街/國凱街136巷口(東北側),24.9804,121.4233,40,5,35,1,2026-04-28 13:41:02,4,1
500231025,YouBike2.0_大同國小,樹林區,大元街2巷11號西北側,24.98114,121.41683,30,5,25,1,2026-04-28 14:21:03,5,0
500231026,YouBike2.0_東陽市民活動中心,樹林區,鎮前街467號(前),24.98205,121.41224,30,5,25,1,2026-04-28 13:57:02,4,1
500231027,YouBike2.0_山佳火車站,樹林區,山佳街47號(對面),24.97271,121.39317,25,10,15,1,2026-04-28 14:27:02,7,3
500231028,YouBike2.0_學成大成路口,樹林區,大成路與學成路口,24.94587,121.38236,37,17,20,1,2026-04-28 14:24:04,15,2
500231029,YouBike2.0_學成大義路口,樹林區,大義路182號,24.9453,121.37838,33,8,25,1,2026-04-28 14:19:02,7,1
500231030,YouBike2.0_森林公園,樹林區,學勤路382號對側,24.94819,121.37975,30,3,27,1,2026-04-28 14:16:03,2,1
500231031,YouBike2.0_中山立仁街口,樹林區,中山路一段177-1號(旁),24.9886,121.42178,21,2,19,1,2026-04-28 14:23:02,2,0
500231032,YouBike2.0_俊英街219巷口,樹林區,俊英街/俊英街219巷口,25.01294,121.42365,17,7,10,1,2026-04-28 14:03:03,6,1
500231033,YouBike2.0_柑園街一段51巷口,樹林區,柑園街一段45號(對面),24.96029,121.40316,18,11,7,1,2026-04-28 14:20:04,6,5
500231034,YouBike2.0_八德街東豐街口,樹林區,八德街/東豐街口(東南側),24.97427,121.41946,12,6,6,1,2026-04-28 14:28:03,5,1
500231035,YouBike2.0_學勤大有路口,樹林區,學勤路/大有路口(東南側),24.94864,121.38399,18,9,9,1,2026-04-28 14:15:03,6,3
500231036,YouBike2.0_三多國小,樹林區,三福街89號北側,25.01638,121.40701,26,7,19,1,2026-04-28 14:21:03,7,0
500231037,YouBike2.0_樹林區公所,樹林區,博愛街198-5號對側,24.98976,121.42477,37,16,20,1,2026-04-28 14:24:04,16,0
500231038,YouBike2.0_樹林大安活動中心,樹林區,復興路372巷24號,24.98636,121.41489,44,0,44,1,2026-04-28 13:59:23,0,0
500231039,YouBike2.0_新北市立圖書館樹林東昇分館,樹林區,中山路二段80號(對面),24.98379,121.41503,20,9,11,1,2026-04-28 14:01:03,9,0
500231040,YouBike2.0_億光電子(樹林高中),樹林區,中華路與樹中二街口,24.98356,121.4236,41,28,13,1,2026-04-28 14:28:03,28,0
500231041,YouBike2.0_四維國凱街口(立天下社區),樹林區,四維路與國凱街口,24.97934,121.42241,44,5,39,1,2026-04-28 14:27:02,5,0
500231042,YouBike2.0_柑園五里聯合活動中心,樹林區,佳園路三段128號(前),24.95096,121.38646,25,7,18,1,2026-04-28 13:59:03,3,4
500231043,YouBike2.0_中正保安街三段口,樹林區,中正路/保安街三段口(西南側),25.01239,121.41274,11,0,11,1,2026-04-28 14:09:20,0,0
500231044,YouBike2.0_大安文化街口,樹林區,大安文化街口南側,24.98962,121.41595,21,4,17,1,2026-04-28 13:53:02,4,0
500231045,YouBike2.0_中正千歲街口,樹林區,中正路/千歲街(東北側),24.99948,121.42756,17,3,14,1,2026-04-28 14:25:03,2,1
500231046,YouBike2.0_中華路12巷口,樹林區,中華路/中華路12巷(東北側),24.982608838794,121.42111571570142,20,14,6,1,2026-04-28 12:55:03,13,1
