city,record_id,inspection_date,inspection_item,food_category,product_name,vendor_name,district,address,lng,lat,result,violation_detail,sampled_place
臺北市,6690,2024-01-16,蔬果,小葉菜類,茼蒿,林O省(蔬菜承銷人3067),萬華區,臺北市萬華區萬大路533號(第一果菜批發市場地號1610),,,不符合規定,殺菌劑Difenoconazole 待克利2.1ppm(標準：1.0ppm以下),林O省(蔬菜承銷人3067)/臺北市萬華區萬大路533號(第一果菜批發市場地號1610)
臺北市,6691,2024-01-16,蔬果,小葉菜類,茼蒿,錢儷小吃店(錢都日式涮涮鍋),士林區,臺北市士林區福國路71號1樓,,,不符合規定,殺菌劑Chlorothalonil四氯異苯腈4.1ppm(標準：2.0ppm以下),錢儷小吃店(錢都日式涮涮鍋)/臺北市士林區福國路71號1樓
臺北市,6692,2024-01-16,蔬果,小漿果類,日本MOMO草莓,梅林水果行,中正區,臺北市中正區開封街1段81、83號1樓,,,不符合規定,殺蟲劑Flonicamid 氟尼胺0.03ppm(標準：0.01ppm以下),梅林水果行/臺北市中正區開封街1段81、83號1樓
臺北市,6693,2024-01-16,蔬果,包葉菜類,結球白菜,全聯實業股份有限公司天母天玉分公司,士林區,臺北市士林區天母西路3號地下,,,不符合規定,殺蟲劑Pyriproxyfen 百利普芬0.08ppm(標準：0.01ppm以下),全聯實業股份有限公司天母天玉分公司/臺北市士林區天母西路3號地下
臺北市,6706,2024-01-16,蔬果,小葉菜類,青江菜,鼎王國際餐飲股份有限公司無老台北中華分公司(無老鍋西門町店),中正區,臺北市中正區中華路1段55號2樓,,,不符合規定,殺蟲劑Tolfenpyrad 脫芬瑞0.9ppm(標準：0.5ppm以下),鼎王國際餐飲股份有限公司無老台北中華分公司(無老鍋西門町店)/臺北市中正區中華路1段55號2樓
臺北市,6744,2024-01-03,蔬果,小漿果類,大湖草莓,一級鮮果商行,大安區,臺北市大安區仁愛路4段408號,,,不符合規定,殺蟲劑Methomyl 納乃得3.1ppm(標準：2.0ppm以下) 殺菌劑Pyraclostrobin 百克敏1.4ppm(標準0.5ppm以下),一級鮮果商行/臺北市大安區仁愛路4段408號
臺北市,6745,2024-01-03,蔬果,小葉菜類,茼蒿,三商家購股份有限公司大安樂業門市(美廉社),大安區,臺北市大安區樂業街141號,,,不符合規定,殺菌劑Chlorothalonil 四氯異苯腈3.9ppm(標準：2.0ppm以下),三商家購股份有限公司大安樂業門市(美廉社)/臺北市大安區樂業街141號
臺北市,6761,2024-01-02,蔬果,包葉菜類,刈菜(包心芥菜),臺北市第二果菜批發市場18-09號攤,中山區,臺北市中山區民族東路336號,,,不符合規定,殺菌劑Flutolanil 福多寧0.05ppm(標準：0.01ppm以下),臺北市第二果菜批發市場18-09號攤/臺北市中山區民族東路336號
臺北市,6762,2024-01-02,蔬果,柑桔類,金棗,旺旺水果行(龍江水果行),中山區,臺北市中山區龍江路189號,,,不符合規定,殺蟲劑Chlorpyrifos 陶斯松0.03ppm(標準：0.01ppm以下) 殺菌劑Famoxadone 凡殺同0.68ppm(標準：0.01ppm以下) 殺蟲劑Fenvalerate 芬化利2.8ppm(標準：2.0ppm以下),旺旺水果行(龍江水果行)/臺北市中山區龍江路189號
臺北市,6763,2024-01-02,蔬果,小葉菜類,九層塔(羅勒),龍來餐飲有限公司(儂來美食),中山區,臺北市中山區民生東路2段147巷11弄2-1號,,,不符合規定,殺菌劑Boscalid 白克列21.87ppm(標準：0.01ppm以下) 殺菌劑Procymidone 撲滅寧10.3ppm(標準：5.0ppm以下),龍來餐飲有限公司(儂來美食)/臺北市中山區民生東路2段147巷11弄2-1號
臺北市,6764,2024-01-02,蔬果,小漿果類,大湖草莓,旺旺水果行（龍江水果行）,中山區,臺北市中山區龍江路189號,,,不符合規定,殺菌劑Fludioxonil 護汰寧2.2ppm(標準：2.0ppm以下),旺旺水果行（龍江水果行）/臺北市中山區龍江路189號
臺北市,6856,2023-12-06,年節食品,豆乾類,黃日香休閒片(有效日期：20240229),正祥食品行(黃日香豆干台北總店),萬華區,臺北市萬華區中華路2段66號1樓/實際抽驗地為64號,,,不符合規定,防腐劑己二烯酸2.2 g/kg（標準：2.0g/kg以下）,正祥食品行(黃日香豆干台北總店)/臺北市萬華區中華路2段66號1樓/實際抽驗地為64號
臺北市,6857,2023-12-05,年節食品,水產及其加工品,蝦米AAA(有效日期：202506)（產地：中國大陸）,麗庭莊園有限公司88號樂章婚宴會館,內湖區,臺北市內湖區民善街88號5樓,,,不符合規定,檢出漂白劑二氧化硫0.05g/kg，惟外包裝成份未標示,麗庭莊園有限公司88號樂章婚宴會館/臺北市內湖區民善街88號5樓
臺北市,6858,2023-12-05,年節食品,竹笙,竹笙(有效日期：20250130),顏素眞號（上海火腿公司,中正區,臺北市中正區南海路2巷16號1樓）,,,不符合規定,漂白劑二氧化硫0.99g/kg（標準：0.50g/kg以下） 殺蟲劑Acetamiprid亞滅培0.08ppm（標準：0.05ppm以下） 殺蟲劑Chlorfenapyr克凡派0.14ppm（標準：0.05ppm以下） 殺蟲劑Chlorpyrifos陶斯松0.06ppm（標準：0.03ppm以下） 殺蟲劑Clothianidin可尼丁0.16ppm（標準：0.05ppm以下） 殺菌劑Propiconazole普克利0.12ppm（標準：0.05ppm以下）,顏素眞號（上海火腿公司/臺北市中正區南海路2巷16號1樓）
臺北市,6859,2023-12-05,年節食品,竹笙,竹笙,雅苑粵菜海鮮樓股份有限公司(雅苑粵菜港式飲茶),大安區,臺北市大安區光復南路202號2樓,,,不符合規定,鎘5mg/kg（標準：2mg/kg以下） 殺蟲劑Chlorpyrifos陶斯松0.18ppm（標準：0.03ppm以下） 殺蟲劑Clothianidin可尼丁0.19pm（標準：0.05ppm以下）,雅苑粵菜海鮮樓股份有限公司(雅苑粵菜港式飲茶)/臺北市大安區光復南路202號2樓
臺北市,6860,2023-12-05,年節食品,豆乾類,非基改秘製豆干（製造日期：2023年12月3日）,八玖食小食樂趣,大同區,臺北市大同區迪化街1段21號永樂市場1019攤,,,不符合規定,防腐劑己二烯酸4.7g/kg（標準：2.0g/kg以下），且該產品為包裝食品，惟未依相關規定標示,八玖食小食樂趣/臺北市大同區迪化街1段21號永樂市場1019攤
臺北市,6912,2023-12-01,年節食品,竹笙,竹笙一級(有效日期：20240427)(產地：中國大陸),京老滿餐飲股份有限公司(餡老滿),內湖區,臺北市內湖區成功路4段188號2樓,,,不符合規定,殺蟲劑Fipronil芬普尼0.012ppm（標準：0.002ppm以下） 殺蟲劑Propoxur安丹2.56ppm（標準：0.05ppm以下）,京老滿餐飲股份有限公司(餡老滿)/臺北市內湖區成功路4段188號2樓
臺北市,6913,2023-12-01,年節食品,蕈菜類,猴頭菇（產地：中國大陸）,萬年興商行,內湖區,臺北市內湖區內湖路3段107號1樓,,,不符合規定,生長調節劑Chlormequat 克美素0.33ppm（標準：不得檢出）,萬年興商行/臺北市內湖區內湖路3段107號1樓
臺北市,6936,2023-11-29,螺獅粉專案,螺獅粉,狸貓妃螺螄粉-螺螄醬料包 (有效日期:2024/03/25),蝦皮購物-Alita曖莉塔(https:,信義區,/shopee.tw/wuy95304),,,不符合規定,檢出防腐劑去水醋酸：0.03 g/kg(標準：不得添加),蝦皮購物-Alita曖莉塔(https://shopee.tw/wuy95304)
臺北市,6960,2023-11-29,年節食品,木耳,白木耳（產地：中國大陸）,萬年興商行,內湖區,臺北市內湖區內湖路3段107號1樓,,,不符合規定,生長調節劑Chlormequat 克美素0.08ppm（標準：不得檢出）,萬年興商行/臺北市內湖區內湖路3段107號1樓
臺北市,6961,2023-11-29,年節食品,包葉菜類,大芥菜,葉O雲,內湖區,臺北市內湖區康寧路1段26巷1號旁(湖光市場無市招蔬菜攤),,,不符合規定,殺蟎劑Fenpyroximate芬普蟎0.26ppm（標準：0.01ppm 以下） 殺蟲劑Methoxyfenozide滅芬諾2.06ppm（標準：0.01ppm以下 ）,葉O雲/臺北市內湖區康寧路1段26巷1號旁(湖光市場無市招蔬菜攤)
臺北市,6962,2023-11-29,年節食品,香辛植物類,大辣椒（FV）,林O鴦3499,萬華區,臺北市萬華區萬大路533號(第一果菜批發市場零批場地號2215),,,不符合規定,殺菌劑Pencycuron賓克隆0.15 ppm（標準：0.05 ppm以下）,林O鴦3499/臺北市萬華區萬大路533號(第一果菜批發市場零批場地號2215)
臺北市,6963,2023-11-29,年節食品,根莖菜類,農產白蘿蔔,台北市農會蔬果舖子,大安區,臺北市大安區復興南路1段340巷旁空地,,,不符合規定,殺蟲劑Cyhalothrin賽洛寧 0.02 ppm（標準：0.01 ppm以下）,台北市農會蔬果舖子/臺北市大安區復興南路1段340巷旁空地
臺北市,6964,2023-11-29,年節食品,包葉菜類,大刈菜,第一果菜批發市場零批場地號1610,萬華區,臺北市萬華區萬大路533號,,,不符合規定,殺蟲劑Dinotefuran達特南2.8ppm（標準：2.0ppm以下）,第一果菜批發市場零批場地號1610/臺北市萬華區萬大路533號
臺北市,6965,2023-11-29,年節食品,香辛植物類,陝西花椒（有效日期：20250202）（產地：中國大陸）,泰生堂參藥行,中正區,臺北市中正區開封街1段100號,,,不符合規定,殺蟲劑Acetamiprid亞滅培0.18ppm（標準：0.05ppm以下） 殺蟲劑Chlorpyrifos 陶斯松0.05ppm（標準：0.03ppm以下） 殺蟲劑Imidacloprid益達胺0.07ppm（標準：0.05ppm以下） 殺菌劑Tebuconazole 得克利0.06ppm（標準：0.05 ppm以下） 外包裝標示「合格」、「安心使用」等字樣，涉易生誤解,泰生堂參藥行/臺北市中正區開封街1段100號
臺北市,6966,2023-11-29,年節食品,香辛植物類,B.B.漢源花椒（有效日期：20250415）（產地：中國大陸）,振農食品行,大同區,臺北市大同區迪化街1段283號,,,不符合規定,殺菌劑Tebuconazole得克利0.06 ppm（標準：0.05ppm以下）,振農食品行/臺北市大同區迪化街1段283號
臺北市,6967,2023-11-28,年節食品,包葉菜類,刈菜,紀O丞蔬果攤,中山區,臺北市中山區民族東路410巷61號,,,不符合規定,殺蟲劑Cypermethrin賽滅寧1.3ppm（標準:1.0 ppm以下） 殺菌劑Dimethomorph達滅芬2 .8ppm（ 標準： 2 .5ppm以下） 殺蟲劑Dinotefuran達特南7.6ppm（標準：2.0ppm以下）,紀O丞蔬果攤/臺北市中山區民族東路410巷61號
臺北市,6968,2023-11-28,年節食品,香辛植物類,花椒（有效日期： 20260202）（產地：中國大陸）,康鮮食品股份有限公司,南港區,臺北市南港區重陽路263巷3號4樓,,,不符合規定,殺蟲劑Acetamiprid亞滅培0.31 ppm（標準：0.05 ppm以下） 殺蟲劑Carbofuran加保扶0.11 ppm（標準：不得檢出） 殺蟲劑Imidacloprid益達胺0.10 ppm（標準：0.05ppm以下） 殺菌劑Tebuconazole得克利0.20ppm（標準：0.05 ppm以下） 產品外包裝標示「嚴選安心產品 合格 敬請民眾安心使用」等字樣，涉易生誤解,康鮮食品股份有限公司/臺北市南港區重陽路263巷3號4樓
臺北市,6969,2023-11-28,年節食品,根莖菜類,白蘿蔔,純香食品行,內湖區,臺北市內湖區南京東路6段330巷18弄15號,,,不符合規定,殺蟲劑芬普尼(Fipronil)0.012ppm、芬普尼代謝物(Fipronil-sulfone)0.008ppm(標準:0.001ppm以下),純香食品行/臺北市內湖區南京東路6段330巷18弄15號
