稽查日期,檢驗點,大腸桿菌群,總菌落數,自由有效餘氯（數值）,氫離子濃度指數（數值）
114年5月,中山北路5段460巷1號,<1,<1,0.55,6.8
114年5月,天母東路69巷30號,<1,<1,0.48,7.2
114年5月,行義路1號,<1,<1,0.45,7.1
114年5月,至善路2段322巷口,<1,<1,0.51,7.2
114年6月,新店區直潭路127號,<1,<1,0.48,7.1
114年6月,長興街131號,<1,<1,0.54,7.3
114年6月,思源街1號,<1,<1,0.56,7.2
114年6月,菁山路101巷79號,<1,<1,0.48,7.5
114年6月,至善路3段110號,<1,<1,0.53,7.4
114年6月,泉源路260號,<1,<1,0.57,7.5
114年6月,鹿角坑加壓站 竹子湖路75-1號對面,<1,<1,0.59,7.8
114年6月,松山區健康路15巷交口,<1,<1,0.62,7.1
114年6月,康樂街206號附近,<1,<1,0.58,7.2
114年6月,成功路五段152巷對面,<1,<1,0.33,7.2
114年6月,永吉路120巷92號,<1,<1,0.53,7.2
114年6月,興東街1號對面,<1,<1,0.45,7.2
114年6月,中坡南路51號,<1,<1,0.5,7.2
114年6月,南京東路4段52巷16弄口,<1,<1,0.47,7.2
114年6月,研究院路二段1號,<1,<1,0.47,7.3
114年6月,敦化??199巷9號旁,<1,<1,0.49,7.1
114年6月,康寧路3段99巷17弄26號旁,<1,<1,0.46,7.2
114年6月,民族東路765號對面公園,<1,<1,0.37,7
114年6月,景福街19號1樓,<1,<1,0.56,7
114年6月,師大路105巷與師大路口,<1,<1,0.6,7.1
114年6月,興隆路2段234號,<1,<1,0.57,7
114年6月,松山區八德路二段146巷1弄8號對面,<1,<1,0.55,7.3
114年6月,木柵路1段280號　　,<1,<1,0.54,7
114年6月,延壽街373號,<1,<1,0.48,7.1
114年6月,建國南路1段354號,<1,<1,0.46,7.1
114年6月,桂林路167巷14號（三清宮）,<1,<1,0.43,7.1
114年6月,莊敬路393號,<1,<1,0.46,7.1
114年6月,富陽街底（廁所),<1,<1,0.53,7.3
114年6月,四維路52巷1號對面,<1,<1,0.5,7.3
114年6月,思源街1號,<1,<1,0.52,7.2
114年6月,木新路3段55號,<1,<1,0.53,7.2
114年6月,羅斯福路六段268號,<1,<1,0.54,7.3
114年6月,中山北路1段110-7號,<1,<1,0.53,7.3
114年6月,至善路二段449號,<1,<1,0.52,7.5
114年6月,柳州街62號,<1,<1,0.55,7.2
114年6月,格致路198號,<1,<1,0.61,7
114年6月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.52,7.4
114年6月,西園路1段127號,<1,<1,0.56,7.2
114年6月,西藏路171號,<1,<1,0.58,7.1
114年6月,長泰街8號,<1,<1,0.55,7.1
114年6月,莒光路176號,<1,<1,0.56,7.1
114年6月,萬大路423巷115號,<1,<1,0.56,7.1
114年6月,中山北路1段106-1號,<1,<1,0.45,7.3
114年6月,昌吉街118號,<1,<1,0.5,7.2
114年6月,大龍街126號,<1,<1,0.51,7.3
114年6月,哈密街59巷﹝龍塘綠地﹞,<1,<1,0.58,7.2
114年6月,延平北路2段61巷16號,<1,<1,0.48,7.1
114年6月,迪化街1段268號,<1,<1,0.49,7.2
114年6月,承德路四段5-1號,<1,<1,0.52,7.2
114年6月,行義路1號,<1,<1,0.54,7.1
114年6月,後港街38巷臨5之1號,<1,<1,0.5,7.2
114年6月,中山北路5段460巷1號,<1,<1,0.47,6.9
114年6月,天母東路69巷30號,<1,<1,0.49,7.2
114年6月,至善路2段322巷口,<1,<1,0.49,7.1
114年7月,直潭路127號(直潭淨水場),<1,<1,0.55,7.2
114年7月,長興街131號,<1,<1,0.58,7.4
114年7月,思源街1號,<1,<1,0.51,7
114年7月,至善路3段110號,<1,<1,0.5,7.6
114年7月,鹿角坑加壓站 竹子湖路75-1號對面,<1,<1,0.61,8
114年7月,泉源路260號,<1,<1,0.6,7.6
114年7月,菁山路101巷79號,<1,<1,0.57,7.5
114年7月,成功路五段152巷對面,<1,<1,0.44,7.4
114年7月,永吉路120巷92號,<1,<1,0.5,7.4
114年7月,興東街1號對面,<1,<1,0.44,7.3
114年7月,研究院路二段1號,<1,<1,0.47,7.2
114年7月,松山區延壽街373號,<1,<1,0.54,7.1
114年7月,桂林路167巷14號（三清宮）,<1,<1,0.37,7.2
114年7月,民族東路765號對面公園,<1,<1,0.59,7.1
114年7月,松山區八德路二段146巷1弄8號對面,<1,<1,0.5,7.3
114年7月,木新路3段55號,<1,<1,0.49,7.4
114年7月,富陽街底（廁所),<1,<1,0.53,7.5
114年7月,羅斯福路六段268號,<1,<1,0.49,7.4
114年7月,建國南路一段354號,<1,<1,0.54,7.4
114年7月,思源街1號,<1,<1,0.52,7.3
114年7月,至善路二段449號,<1,<1,0.49,7.2
114年7月,中山北路1段110-7號,<1,<1,0.47,7.3
114年7月,格致路198號,<1,<1,0.54,7
114年7月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.48,7.3
114年7月,松山區健康路15巷交口,<1,<1,0.42,6.9
114年7月,康樂街206號附近,<1,<1,0.44,7
114年7月,康寧路3段99巷17弄26號旁,<1,<1,0.54,7
114年7月,南京東路4段52巷16弄口,<1,<1,0.61,6.9
114年7月,中坡南路51號,<1,<1,0.51,7
114年7月,敦化??199巷9號旁,<1,<1,0.39,7.1
114年7月,師大路105巷與師大路口,<1,<1,0.49,7
114年7月,建國南路1段354號,<1,<1,0.55,7.1
114年7月,景福街19號1樓,<1,<1,0.6,7
114年7月,興隆路2段234號,<1,<1,0.56,6.9
114年7月,莊敬路393號,<1,<1,0.52,7.1
114年7月,木柵路1段280號　　,<1,<1,0.48,7
114年7月,柳州街62號,<1,<1,0.66,7.4
114年7月,西園路1段127號,<1,<1,0.58,7.4
114年7月,西藏路171號,<1,<1,0.58,7.4
114年7月,長泰街8號,<1,<1,0.58,7.4
114年7月,莒光路176號,<1,<1,0.68,7.4
114年7月,萬大路423巷115號,<1,<1,0.57,7.2
114年7月,中山北路1段106-1號,<1,<1,0.42,7.1
114年7月,延平北路2段61巷16號,<1,<1,0.51,7.1
114年7月,大龍街126號,<1,<1,0.58,7.1
114年7月,迪化街1段268號,<1,<1,0.47,7
114年7月,昌吉街118號,<1,<1,0.6,7.1
114年7月,哈密街59巷﹝龍塘綠地﹞,<1,<1,0.55,7.1
114年7月,承德路四段5-1號,<1,<1,0.5,7.2
114年7月,後港街38巷臨5之1號,<1,<1,0.51,7
114年7月,中山北路5段460巷1號,<1,<1,0.42,7.2
114年7月,天母東路69巷30號,<1,<1,0.53,7.2
114年7月,行義路1號,<1,<1,0.5,7.1
114年7月,至善路2段322巷口,<1,<1,0.51,7.2
114年8月,興東街1號對面,<1,<1,0.47,7.2
114年8月,成功路五段152巷對面,<1,<1,0.45,7.2
114年8月,永吉路120巷92號,<1,<1,0.51,7.3
114年8月,研究院路二段1號,<1,<1,0.52,7.4
114年8月,松山區八德路二段146巷1弄8號對面,<1,<1,0.55,7.4
114年8月,桂林路167巷14號（三清宮）,<1,<1,0.35,7.3
114年8月,民族東路765號對面公園,<1,<1,0.53,7.2
114年8月,松山區延壽街373號,<1,<1,0.52,7.2
114年8月,木新路3段55號,<1,<1,0.51,7.2
114年8月,羅斯福路六段268號,<1,<1,0.57,7.3
114年8月,安東街40巷49號對面,<1,<1,0.5,7.1
114年8月,思源街1號,<1,<1,0.58,6.9
114年8月,富陽街底（廁所),<1,<1,0.47,7.1
114年8月,新店區直潭路127號,<1,<1,0.49,7
114年8月,長興街131號,<1,<1,0.57,7.3
114年8月,思源街1號,<1,<1,0.57,7
114年8月,至善路3段110號,<1,<1,0.54,7.6
114年8月,鹿角坑加壓站 竹子湖路75-1號對面,<1,<1,0.56,8
114年8月,泉源路260號,<1,<1,0.67,7.6
114年8月,菁山路101巷79號,<1,<1,0.59,7.5
114年8月,至善路二段449號,<1,<1,0.62,7.5
114年8月,中山北路1段110-7號,<1,<1,0.59,7.3
114年8月,格致路198號,<1,<1,0.55,7.1
114年8月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.51,7.1
114年8月,柳州街62號,<1,<1,0.55,7.2
114年8月,西園路1段127號,<1,<1,0.55,7.2
114年8月,長泰街8號,<1,<1,0.53,7.2
114年8月,長泰街8號,<1,<1,0.35,7.1
114年8月,莒光路176號,<1,<1,0.52,7.1
114年8月,萬大路423巷115號,<1,<1,0.57,7.1
114年8月,中山北路1段106-1號,<1,<1,0.41,7.2
114年8月,昌吉街118號,<1,<1,0.5,7.1
114年8月,大龍街126號,<1,<1,0.46,7.1
114年8月,哈密街59巷﹝龍塘綠地﹞,<1,<1,0.47,7.1
114年8月,迪化街1段268號,<1,<1,0.43,7.1
114年8月,延平北路2段61巷16號,<1,<1,0.46,7.1
114年8月,承德路四段5-1號,<1,<1,0.47,7.1
114年8月,行義路1號,<1,<1,0.48,7
114年8月,後港街38巷臨5之1號,<1,<1,0.45,7.1
114年8月,中山北路5段460巷1號,<1,<1,0.48,6.9
114年8月,天母東路69巷30號,<1,<1,0.45,7.1
114年8月,至善路2段322巷口,<1,<1,0.57,7.2
114年8月,南京東路4段52巷16弄口,<1,<1,0.52,7.4
114年8月,松山區健康路15巷交口,<1,<1,0.5,7.1
114年8月,內溝里康樂街206-4號旁附近,<1,<1,0.5,7.1
114年8月,中坡南路51號,<1,<1,0.49,7.2
114年8月,敦化??199巷9號旁,<1,<1,0.47,7.1
114年8月,康寧路3段99巷17弄26號旁,<1,<1,0.49,7.2
114年8月,建國南路一段354號,<1,<1,0.48,7.2
114年8月,木柵路1段280號　　,<1,<1,0.52,7.2
114年8月,師大路105巷與師大路口,<1,<1,0.61,7.2
114年8月,莊敬路393號,<1,<1,0.47,7.2
114年8月,景福街19號1樓,<1,<1,0.54,7.1
114年8月,興隆路2段234號,<1,<1,0.51,7.1
